Иван,М,10 км,54:20
Александр,М,10 км,53:20
Сергей,М,10 км,52:20
Екатерина,Ж,5 км,29:20
Мирослава,Ж,5 км,28:10
Оксана,Ж,5 км,31:31
Кристина,Ж,5 км,32:25
Эрнест,М,5 км,32:25
Владислав,М,5 км,33:47
Роман,М,5 км,32:20
Пётр,М,5 км,33:20
Святослав,М,5 км,29:20
Аркадий,М,5 км,28:10
Владимир,М,5 км,29:35
Ярослав,М,5 км,28:15
Светлана,Ж,10 км,54:20
Наталья,Ж,10 км,53:20
Анна,Ж,10 км,52:20
Мария,Ж,10 км,51:20
Тамара,Ж,10 км,55:10
Михаил,М,10 км,55:40
Роза,Ж,5 км,33:47
Любовь,Ж,5 км,29:35
Надежда,Ж,5 км,28:15
Константин,М,10 км,55:50
Денис,М,10 км,55:55
Дмитрий,М,10 км,51:20
Степан,М,5 км,31:20
Соломон,М,5 км,31:31
Анастасия,Ж,10 км,55:40
Диана,Ж,10 км,55:50
Марина,Ж,10 км,55:55
Александра,Ж,5 км,31:20
Эльмира,Ж,10 км,55:20
Алёна,Ж,10 км,55:30
Алексей,М,10 км,55:10
Григорий,М,10 км,55:20
Георгий,М,10 км,55:30
Евгения,Ж,5 км,32:20
Ксения,Ж,5 км,33:20
